日期,销量
2019-05-20,1094
2019-05-21,1023
2019-05-22,1087
2019-05-23,1098
2019-05-24,1095
2019-05-25,1102
2019-05-26,1029
2019-05-27,1083
2019-05-28,1119
2019-05-29,1112
2019-05-30,1080
2019-05-31,1121
2019-06-01,1151
2019-06-02,1105
2019-06-03,1144
2019-06-04,1144
2019-06-05,1075
2019-06-06,1105
2019-06-07,1096
2019-06-08,1109
2019-06-09,1136
2019-06-10,1170
2019-06-11,1152
2019-06-12,1149
2019-06-13,1148
2019-06-14,1132
2019-06-15,1156
2019-06-16,1143
2019-06-17,1168
2019-06-18,1197
2019-06-19,1209
2019-06-20,1207
2019-06-21,1226
2019-06-22,1220
2019-06-23,1200
2019-06-24,1262
2019-06-25,1191
2019-06-26,1265
2019-06-27,1216
2019-06-28,1214
2019-06-29,1212
2019-06-30,1297
2019-07-01,1254
2019-07-02,1297
2019-07-03,1233
2019-07-04,1252
2019-07-05,1304
2019-07-06,1255
2019-07-07,1294
2019-07-08,1305
2019-07-09,1258
2019-07-10,1348
2019-07-11,1336
2019-07-12,1337
2019-07-13,1287
2019-07-14,1324
2019-07-15,1323
2019-07-16,1327
2019-07-17,1363
2019-07-18,1312
2019-07-19,1391
2019-07-20,1317
2019-07-21,1392
2019-07-22,1356
2019-07-23,1376
2019-07-24,1348
2019-07-25,1388
2019-07-26,1414
2019-07-27,1426
2019-07-28,1431
2019-07-29,1437
2019-07-30,1368
2019-07-31,1437
2019-08-01,1360
2019-08-02,1429
2019-08-03,1417
2019-08-04,1396
2019-08-05,1458
2019-08-06,1439
2019-08-07,1416
2019-08-08,1399
2019-08-09,1491
2019-08-10,1440
2019-08-11,1470
2019-08-12,1486
2019-08-13,1428
2019-08-14,1490
2019-08-15,1522
2019-08-16,1513
2019-08-17,1486
2019-08-18,1447
2019-08-19,1480
2019-08-20,1480
2019-08-21,1480
2019-08-22,1489
2019-08-23,1493
2019-08-24,1529
2019-08-25,1557
2019-08-26,1505
2019-08-27,1513
2019-08-28,1521
2019-08-29,1599
2019-08-30,1603
2019-08-31,1569
2019-09-01,1546
2019-09-02,1531
2019-09-03,1611
2019-09-04,1544
2019-09-05,1559
2019-09-06,1572
2019-09-07,1595
2019-09-08,1619
2019-09-09,1571
2019-09-10,1611
2019-09-11,1612
2019-09-12,1640
2019-09-13,1672
2019-09-14,1650
2019-09-15,1608
2019-09-16,1635
2019-09-17,1693
2019-09-18,1606
2019-09-19,1611
2019-09-20,1675
2019-09-21,1670
2019-09-22,1633
2019-09-23,1724
2019-09-24,1636
2019-09-25,1683
2019-09-26,1692
2019-09-27,1695
2019-09-28,1665
2019-09-29,1665
2019-09-30,1738
2019-10-01,1750
2019-10-02,1711
2019-10-03,1733
2019-10-04,1741
2019-10-05,1744
2019-10-06,1714
2019-10-07,1716
2019-10-08,1766
2019-10-09,1745
2019-10-10,1773
2019-10-11,1734
2019-10-12,1796
2019-10-13,1802
2019-10-14,1758
2019-10-15,1808
2019-10-16,1839
2019-10-17,1745
2019-10-18,1777
2019-10-19,1803
2019-10-20,1810
2019-10-21,1856
2019-10-22,1860
2019-10-23,1785
2019-10-24,1877
2019-10-25,1791
2019-10-26,1791
2019-10-27,1840
2019-10-28,1823
2019-10-29,1901
2019-10-30,1851
2019-10-31,1847
2019-11-01,1906
2019-11-02,1883
2019-11-03,1868
2019-11-04,1876
2019-11-05,1883
2019-11-06,1903
2019-11-07,1873
2019-11-08,1887
2019-11-09,1878
2019-11-10,1868
2019-11-11,1934
2019-11-12,1946
2019-11-13,1896
2019-11-14,1937
2019-11-15,1915
2019-11-16,1925
2019-11-17,1988
2019-11-18,2000
2019-11-19,1966
2019-11-20,1971
2019-11-21,1947
2019-11-22,1997
2019-11-23,2028
2019-11-24,1995
2019-11-25,2015
2019-11-26,1969
2019-11-27,1951
2019-11-28,1978
2019-11-29,2056
2019-11-30,2050
2019-12-01,2002
2019-12-02,2008
2019-12-03,2072
2019-12-04,2040
2019-12-05,1993
2019-12-06,2041
2019-12-07,2061
2019-12-08,2013
2019-12-09,2056
2019-12-10,2086
2019-12-11,2067
2019-12-12,2102
2019-12-13,2076
2019-12-14,2102
2019-12-15,2041
2019-12-16,2124
2019-12-17,2130
2019-12-18,2141
2019-12-19,2082
2019-12-20,2072
2019-12-21,2127
2019-12-22,2119
2019-12-23,2113
2019-12-24,2093
2019-12-25,2100
2019-12-26,2143
2019-12-27,2181
2019-12-28,2159
2019-12-29,2135
2019-12-30,2208
2019-12-31,2127
